city,crop,season,soil_type,soil_ph,organic_carbon_pct,sand_pct,silt_pct,clay_pct,irrigation,fertilizer_used,fertilizer_type,N_req_kg_ha,P2O5_req_kg_ha,K2O_req_kg_ha,alt_crops,Type
Bagalkote,Potato,Kharif,Sandy loam,6.4,0.65,62,15,23,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,189,94,123,Tomato (Hybrid High-Demand); Guava; Sugarcane; Amla (Indian Gooseberry),Vegetable
Hassan,Chilli,Kharif,Sandy loam,5.8,0.68,65,11,24,Irrigated,Urea + DAP + MOP,Inorganic,131,63,54,Cauliflower; Cabbage; Brinjal (Eggplant),Vegetable
Ballari,Mustard,Rabi,Black clayey,7.8,0.81,23,20,57,Irrigated,15-15-15 + Urea,Inorganic,72,37,38,Okra (Bhindi); Cotton; Pumpkin,Oilseed
Koppal,Sunflower,Rabi,Sandy loam,6.6,0.5,58,31,11,Rainfed,15-15-15 + Urea,Inorganic,56,59,36,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Bagalkote,Pearl Millet (Bajra),Kharif,Red sandy loam,6.4,0.86,62,22,16,Rainfed,Urea + SSP + MOP,Inorganic,56,33,21,Ragi (Finger Millet); Coriander; Bottle Gourd; Ridge Gourd,Cereal
Bidar,Mustard,Rabi,Lateritic,5.6,0.96,39,42,19,Irrigated,Vermicompost + Neem cake,Organic,73,41,42,Okra (Bhindi); Cotton; Pumpkin,Oilseed
Belagavi,Potato,Kharif,Red sandy loam,6.4,0.99,53,27,20,Irrigated,CAN + DAP + MOP,Inorganic,192,99,128,Tomato (Hybrid High-Demand); Guava; Sugarcane; Amla (Indian Gooseberry),Vegetable
Vijayapura,Soybean,Rabi,Black clayey,8.2,1.0,16,35,49,Rainfed,Urea + DAP + MOP,Inorganic,21,60,37,Green Peas; French Beans; Chickpea (Bengal gram),Oilseed
Udupi,Blackgram (Urad),Summer,Alluvial (coastal),7.7,1.14,39,45,16,Rainfed,FYM (Farmyard Manure),Organic,22,42,0,Greengram (Moong); Pigeonpea (Tur); Sesame; Groundnut,Pulse
Vijayapura,Ragi (Finger Millet),Rabi,Black clayey,7.2,0.71,15,43,42,Irrigated,20-20-0 + Urea,Inorganic,57,29,28,Coriander; Pearl Millet (Bajra); Bottle Gourd; Ridge Gourd,Cereal
Mangaluru,Sunflower,Kharif,Lateritic,7.1,0.64,49,27,24,Irrigated,FYM + Urea (split) + MOP,Mixed,55,58,41,Bitter Gourd; Pumpkin; Ridge Gourd,Oilseed
Chikkamagaluru,Chickpea (Bengal gram),Rabi,Red sandy loam,7.0,0.55,61,23,16,Rainfed,FYM (Farmyard Manure),Organic,19,50,19,Groundnut; French Beans; Green Peas; Pigeonpea (Tur),Pulse
Ramanagara,Mustard,Rabi,Red loam,6.6,0.83,55,32,13,Irrigated,Green manure (Sunnhemp) + FYM,Organic,77,37,43,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Hassan,Soybean,Kharif,Red sandy loam,6.8,0.8,58,24,18,Rainfed,20-20-0 + Urea,Inorganic,20,62,36,Green Peas; French Beans; Chickpea (Bengal gram),Oilseed
Uttara Kannada (Karwar),Greengram (Moong),Kharif,Alluvial (coastal),7.3,1.02,42,40,18,Rainfed,Urea + DAP + MOP,Inorganic,18,42,0,Blackgram (Urad); Pigeonpea (Tur); Sesame,Pulse
Shivamogga,Tomato,Kharif,Sandy loam,6.3,0.61,55,21,24,Rainfed,FYM + Urea (split) + MOP,Mixed,151,76,81,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava; Maize,Vegetable
Kodagu (Madikeri),Tomato (Hybrid High-Demand),Summer,Lateritic,6.2,0.79,48,30,22,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,168,81,89,Guava; Potato; Tomato; Capsicum (Bell Pepper),Vegetable
Chikkaballapura,Capsicum (Bell Pepper),Summer,Lateritic,6.7,0.49,47,30,23,Irrigated,15-15-15 + Urea,Inorganic,135,75,82,Tomato; Brinjal (Eggplant); Cauliflower,Vegetable
Bengaluru,Carrot,Rabi,Red sandy loam,7.1,1.19,69,13,18,Irrigated,15-15-15 + Urea,Inorganic,86,64,56,Cucumber; Beetroot; Muskmelon,Vegetable
Mysuru,Cabbage,Rabi,Sandy loam,5.8,0.56,68,11,21,Rainfed,12-32-16 + Urea + MOP,Inorganic,127,54,65,Cauliflower; Chilli; Brinjal (Eggplant),Vegetable
Vijayapura,Spinach,Kharif,Red loam,6.3,0.72,68,22,10,Irrigated,Vermicompost + Neem cake,Organic,54,37,42,Ridge Gourd; Bottle Gourd; Pumpkin; Coriander,Vegetable
Udupi,Carrot,Rabi,Lateritic,6.3,0.94,36,54,10,Irrigated,Vermicompost + Neem cake,Organic,86,63,61,Cucumber; Beetroot; Muskmelon,Vegetable
Raichur,Jackfruit,Rabi,Red loam,5.6,0.66,66,14,20,Irrigated,15-15-15 + Urea,Inorganic,199,99,196,Banana; Sapota (Chikoo); Pomegranate; Potato,Fruit
Kalaburagi,Coriander,Kharif,Sandy loam,6.8,0.85,45,33,22,Irrigated,Vermicompost + Neem cake,Organic,55,29,32,Ragi (Finger Millet); Bottle Gourd; Pearl Millet (Bajra),Vegetable
Bagalkote,Papaya,Kharif,Lateritic,6.7,0.45,43,44,13,Irrigated,FYM (Farmyard Manure),Organic,153,49,140,Amla (Indian Gooseberry); Onion; Potato; Guava,Fruit
Hubballi-Dharwad,Papaya,Kharif,Red sandy loam,6.7,1.15,68,16,16,Irrigated,Vermicompost + Neem cake,Organic,136,53,144,Amla (Indian Gooseberry); Onion; Potato; Guava,Fruit
Kolar,Cabbage,Summer,Lateritic,6.6,1.17,45,44,11,Irrigated,12-32-16 + Urea + MOP,Inorganic,118,58,64,Cauliflower; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Udupi,Bottle Gourd,Rabi,Black clayey,7.9,0.69,11,46,43,Irrigated,FYM + Urea (split) + MOP,Mixed,58,42,44,Ridge Gourd; Pumpkin; Spinach; Coriander,Vegetable
Kalaburagi,Green Peas,Kharif,Red sandy loam,6.3,0.9,50,29,21,Irrigated,FYM (Farmyard Manure),Organic,25,55,27,French Beans; Soybean; Chickpea (Bengal gram); Groundnut,Vegetable
Ballari,Carrot,Rabi,Red sandy loam,6.8,1.07,61,24,15,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,84,59,58,Cucumber; Beetroot; Muskmelon,Vegetable
Tumakuru,Green Peas,Kharif,Lateritic,6.8,0.67,52,37,11,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,26,65,31,French Beans; Soybean; Chickpea (Bengal gram); Groundnut,Vegetable
Chikkamagaluru,Mango,Rabi,Red loam,6.5,0.65,63,27,10,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,247,48,253,Sapota (Chikoo); Jackfruit; Banana,Fruit
Ballari,Pomegranate,Rabi,Black clayey,7.2,0.68,19,23,58,Irrigated,12-32-16 + Urea + MOP,Inorganic,236,160,192,Sapota (Chikoo); Banana; Jackfruit; Sugarcane,Fruit
Vijayapura,Jackfruit,Rabi,Red loam,6.0,0.93,55,25,20,Irrigated,Vermicompost + Neem cake,Organic,187,93,183,Banana; Sapota (Chikoo); Pomegranate; Potato,Fruit
Bagalkote,Cucumber,Rabi,Black clayey,7.6,0.63,18,25,57,Rainfed,12-32-16 + Urea + MOP,Inorganic,82,64,60,Carrot; Beetroot; Watermelon,Vegetable
Vijayapura,Okra (Bhindi),Kharif,Lateritic,6.6,0.76,44,36,20,Irrigated,Vermicompost + Neem cake,Organic,80,43,42,Mustard; Cotton; Pumpkin,Vegetable
Dakshina Kannada (Puttur),Ridge Gourd,Summer,Red sandy loam,7.1,0.73,49,36,15,Rainfed,15-15-15 + Urea,Inorganic,61,44,43,Bottle Gourd; Pumpkin; Spinach; Coriander,Vegetable
Ramanagara,Cabbage,Rabi,Alluvial (coastal),6.3,0.94,37,53,10,Irrigated,FYM (Farmyard Manure),Organic,126,58,57,Cauliflower; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Bengaluru,Banana,Rabi,Red sandy loam,6.4,0.8,67,20,13,Irrigated,15-15-15 + Urea,Inorganic,200,103,186,Jackfruit; Sapota (Chikoo); Pomegranate; Potato,Fruit
Davanagere,Cauliflower,Summer,Lateritic,6.1,0.44,46,37,17,Irrigated,Vermicompost + Neem cake,Organic,111,56,65,Cabbage; Chilli; Brinjal (Eggplant),Vegetable
Bidar,Watermelon,Rabi,Alluvial (coastal),7.2,0.74,42,36,22,Rainfed,FYM + Urea (split) + MOP,Mixed,101,52,51,Muskmelon; Cotton; Sorghum (Jowar),Fruit
Chikkamagaluru,French Beans,Kharif,Red loam,7.2,1.01,64,19,17,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,27,54,29,Green Peas; Soybean; Chickpea (Bengal gram); Groundnut,Vegetable
Ballari,Banana,Rabi,Black clayey,7.1,0.89,24,33,43,Irrigated,12-32-16 + Urea + MOP,Inorganic,198,100,217,Jackfruit; Sapota (Chikoo); Pomegranate; Potato,Fruit
Belagavi,Brinjal (Eggplant),Kharif,Lateritic,5.6,1.07,40,49,11,Rainfed,12-32-16 + Urea + MOP,Inorganic,116,62,65,Cauliflower; Cabbage; Chilli,Vegetable
Bagalkote,Beetroot,Rabi,Sandy loam,6.9,0.55,57,33,10,Irrigated,FYM (Farmyard Manure),Organic,82,65,62,Cucumber; Carrot; Watermelon; Muskmelon,Vegetable
Mysuru,Bitter Gourd,Kharif,Lateritic,5.8,0.64,44,36,20,Irrigated,FYM + Urea (split) + MOP,Mixed,56,55,48,Sunflower; Pumpkin; Ridge Gourd,Vegetable
Bidar,Papaya,Rabi,Alluvial (coastal),6.6,0.64,35,46,19,Irrigated,FYM + Urea (split) + MOP,Mixed,155,47,158,Amla (Indian Gooseberry); Onion; Potato; Guava,Fruit
Tumakuru,French Beans,Summer,Red sandy loam,6.7,0.85,58,28,14,Irrigated,FYM + Urea (split) + MOP,Mixed,27,59,27,Green Peas; Soybean; Chickpea (Bengal gram),Vegetable
Ramanagara,Beetroot,Kharif,Lateritic,7.0,0.68,44,42,14,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,92,61,65,Cucumber; Carrot; Watermelon,Vegetable
Mysuru,Bottle Gourd,Rabi,Lateritic,6.8,1.12,50,36,14,Irrigated,12-32-16 + Urea + MOP,Inorganic,56,38,42,Ridge Gourd; Pumpkin; Spinach; Coriander,Vegetable
Belagavi,Papaya,Kharif,Black clayey,8.4,0.58,16,26,58,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,151,46,154,Amla (Indian Gooseberry); Onion; Potato,Fruit
Hubballi-Dharwad,French Beans,Summer,Alluvial (coastal),6.7,0.93,41,47,12,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,28,60,30,Green Peas; Soybean; Chickpea (Bengal gram),Vegetable
Koppal,Green Peas,Summer,Red loam,6.3,0.42,55,21,24,Irrigated,FYM (Farmyard Manure),Organic,25,55,29,French Beans; Soybean; Chickpea (Bengal gram),Vegetable
Bagalkote,Watermelon,Summer,Red loam,6.8,0.75,64,14,22,Irrigated,12-32-16 + Urea + MOP,Inorganic,95,55,54,Muskmelon; Cotton; Sorghum (Jowar),Fruit
Davanagere,Mango,Rabi,Red sandy loam,6.2,0.6,69,20,11,Rainfed,12-32-16 + Urea + MOP,Inorganic,272,48,255,Sapota (Chikoo); Jackfruit; Banana; Pomegranate,Fruit
Udupi,Amla (Indian Gooseberry),Summer,Lateritic,6.9,1.17,44,42,14,Irrigated,Vermicompost + Neem cake,Organic,145,51,144,Papaya; Onion; Potato; Guava,Fruit
Hubballi-Dharwad,Bottle Gourd,Rabi,Red sandy loam,6.1,1.12,59,30,11,Rainfed,Vermicompost + Neem cake,Organic,59,41,40,Ridge Gourd; Pumpkin; Spinach; Coriander,Vegetable
Dakshina Kannada (Puttur),Okra (Bhindi),Rabi,Red sandy loam,7.1,1.05,52,30,18,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,80,44,41,Mustard; Cotton; Pumpkin,Vegetable
Vijayapura,Tomato (Hybrid High-Demand),Kharif,Sandy loam,6.5,1.18,67,14,19,Irrigated,FYM (Farmyard Manure),Organic,196,96,99,Guava; Potato; Tomato; Capsicum (Bell Pepper),Vegetable
Vijayapura,Sapota (Chikoo),Rabi,Lateritic,7.2,0.54,43,45,12,Irrigated,Vermicompost + Neem cake,Organic,234,92,193,Banana; Jackfruit; Pomegranate; Sugarcane,Fruit
Hubballi-Dharwad,Bitter Gourd,Summer,Lateritic,5.9,0.46,40,47,13,Irrigated,FYM + Urea (split) + MOP,Mixed,57,52,53,Sunflower; Pumpkin; Ridge Gourd; Spinach,Vegetable
Vijayapura,Banana,Kharif,Sandy loam,5.7,0.92,67,17,16,Irrigated,15-15-15 + Urea,Inorganic,195,101,215,Jackfruit; Sapota (Chikoo); Pomegranate,Fruit
Mangaluru,Brinjal (Eggplant),Rabi,Sandy loam,6.6,0.62,60,25,15,Rainfed,15-15-15 + Urea,Inorganic,124,55,55,Cauliflower; Cabbage; Chilli; Rice (Paddy),Vegetable
Hubballi-Dharwad,Carrot,Kharif,Red loam,5.7,0.45,55,31,14,Irrigated,Vermicompost + Neem cake,Organic,76,62,55,Cucumber; Beetroot; Muskmelon; Watermelon,Vegetable
Uttara Kannada (Karwar),Banana,Kharif,Lateritic,5.6,0.62,52,35,13,Irrigated,FYM (Farmyard Manure),Organic,207,106,198,Jackfruit; Sapota (Chikoo); Pomegranate,Fruit
Belagavi,Bottle Gourd,Kharif,Red sandy loam,6.8,0.76,63,23,14,Irrigated,Vermicompost + Neem cake,Organic,65,44,36,Ridge Gourd; Pumpkin; Spinach; Coriander,Vegetable
Udupi,Beetroot,Summer,Sandy loam,6.5,0.41,52,37,11,Irrigated,Vermicompost + Neem cake,Organic,95,62,59,Cucumber; Carrot; Watermelon,Vegetable
Udupi,Brinjal (Eggplant),Summer,Sandy loam,6.9,0.63,59,31,10,Rainfed,Vermicompost + DAP (basal) + Urea (topdress),Mixed,119,65,63,Cauliflower; Cabbage; Chilli,Vegetable
Belagavi,Cauliflower,Summer,Lateritic,5.8,0.62,54,29,17,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,117,62,64,Cabbage; Chilli; Brinjal (Eggplant),Vegetable
Raichur,Mango,Rabi,Lateritic,6.1,1.17,41,45,14,Irrigated,Vermicompost + Neem cake,Organic,247,46,256,Sapota (Chikoo); Jackfruit; Banana,Fruit
Tumakuru,Tomato (Hybrid High-Demand),Summer,Sandy loam,6.2,0.91,45,40,15,Irrigated,FYM (Farmyard Manure),Organic,177,91,99,Guava; Potato; Tomato,Vegetable
Dakshina Kannada (Puttur),Cabbage,Kharif,Black clayey,7.9,1.16,22,24,54,Irrigated,FYM + Urea (split) + MOP,Mixed,112,59,54,Cauliflower; Chilli; Brinjal (Eggplant),Vegetable
Shivamogga,Tomato (Hybrid High-Demand),Kharif,Black clayey,7.3,1.06,12,32,56,Irrigated,12-32-16 + Urea + MOP,Inorganic,178,92,89,Guava; Potato; Tomato; Capsicum (Bell Pepper),Vegetable
Ballari,Carrot,Rabi,Alluvial (coastal),6.3,1.09,54,25,21,Irrigated,FYM + Urea (split) + MOP,Mixed,81,62,64,Cucumber; Beetroot; Muskmelon; Watermelon,Vegetable
Bagalkote,Grapes,Rabi,Red loam,6.6,0.49,58,29,13,Irrigated,Vermicompost + Neem cake,Organic,409,192,408,Mango; Pomegranate; Sapota (Chikoo); Banana,Fruit
Ramanagara,Capsicum (Bell Pepper),Kharif,Lateritic,5.6,0.72,54,26,20,Irrigated,Vermicompost + Neem cake,Organic,149,82,76,Tomato; Brinjal (Eggplant); Cauliflower; Cabbage,Vegetable
Kolar,Okra (Bhindi),Summer,Red loam,6.4,0.95,64,15,21,Irrigated,12-32-16 + Urea + MOP,Inorganic,78,37,41,Mustard; Cotton; Pumpkin,Vegetable
Vijayapura,French Beans,Summer,Sandy loam,5.6,1.02,69,8,23,Irrigated,12-32-16 + Urea + MOP,Inorganic,31,57,32,Green Peas; Soybean; Chickpea (Bengal gram); Groundnut,Vegetable
Gadag,Bottle Gourd,Rabi,Alluvial (coastal),7.1,0.87,39,46,15,Irrigated,Vermicompost + Neem cake,Organic,57,36,37,Ridge Gourd; Pumpkin; Spinach; Coriander,Vegetable
Mangaluru,Beetroot,Kharif,Lateritic,7.0,0.78,38,52,10,Irrigated,12-32-16 + Urea + MOP,Inorganic,93,57,56,Cucumber; Carrot; Watermelon; Muskmelon,Vegetable
Mysuru,Cabbage,Kharif,Alluvial (coastal),7.6,0.43,46,33,21,Irrigated,12-32-16 + Urea + MOP,Inorganic,118,58,56,Cauliflower; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Kolar,Papaya,Kharif,Red loam,6.8,0.76,60,27,13,Irrigated,12-32-16 + Urea + MOP,Inorganic,161,46,160,Amla (Indian Gooseberry); Onion; Potato,Fruit
Kalaburagi,Capsicum (Bell Pepper),Rabi,Black clayey,7.3,0.72,11,36,53,Irrigated,Vermicompost + Neem cake,Organic,140,82,77,Tomato; Brinjal (Eggplant); Cauliflower,Vegetable
Kolar,Pomegranate,Rabi,Lateritic,6.3,0.81,53,31,16,Irrigated,FYM (Farmyard Manure),Organic,255,153,184,Sapota (Chikoo); Banana; Jackfruit; Sugarcane,Fruit
Kalaburagi,Cucumber,Kharif,Black clayey,7.3,0.62,11,41,48,Irrigated,FYM (Farmyard Manure),Organic,86,61,64,Carrot; Beetroot; Watermelon; Muskmelon,Vegetable
Chikkamagaluru,Pomegranate,Kharif,Sandy loam,5.9,0.96,48,38,14,Irrigated,15-15-15 + Urea,Inorganic,226,146,205,Sapota (Chikoo); Banana; Jackfruit; Sugarcane,Fruit
Dakshina Kannada (Puttur),Cucumber,Rabi,Red loam,6.2,0.91,55,33,12,Irrigated,12-32-16 + Urea + MOP,Inorganic,84,62,66,Carrot; Beetroot; Watermelon,Vegetable
Yadgir,Spinach,Summer,Black clayey,7.4,1.06,16,28,56,Irrigated,FYM (Farmyard Manure),Organic,55,43,43,Ridge Gourd; Bottle Gourd; Pumpkin; Coriander,Vegetable
Raichur,Cauliflower,Summer,Alluvial (coastal),7.4,1.12,41,35,24,Irrigated,Vermicompost + Neem cake,Organic,130,63,57,Cabbage; Chilli; Brinjal (Eggplant); Rice (Paddy),Vegetable
Koppal,Grapes,Kharif,Red sandy loam,6.4,0.4,58,20,22,Irrigated,15-15-15 + Urea,Inorganic,438,199,385,Mango; Pomegranate; Sapota (Chikoo),Fruit
Chikkaballapura,Amla (Indian Gooseberry),Summer,Black clayey,7.4,0.69,10,38,52,Rainfed,Vermicompost + Neem cake,Organic,152,49,139,Papaya; Onion; Potato,Fruit
Bengaluru,Pomegranate,Kharif,Sandy loam,6.1,1.07,50,26,24,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,237,149,218,Sapota (Chikoo); Banana; Jackfruit; Sugarcane,Fruit
Kalaburagi,Ridge Gourd,Rabi,Alluvial (coastal),6.5,1.16,36,48,16,Rainfed,Vermicompost + Neem cake,Organic,56,39,40,Bottle Gourd; Pumpkin; Spinach; Coriander,Vegetable
Raichur,Bottle Gourd,Kharif,Red loam,5.6,0.57,67,22,11,Irrigated,15-15-15 + Urea,Inorganic,59,37,37,Ridge Gourd; Pumpkin; Spinach; Coriander,Vegetable
Vijayapura,Brinjal (Eggplant),Kharif,Sandy loam,6.6,1.04,56,27,17,Irrigated,FYM + Urea (split) + MOP,Mixed,127,64,56,Cauliflower; Cabbage; Chilli,Vegetable
Uttara Kannada (Karwar),Papaya,Kharif,Red loam,5.7,0.51,66,21,13,Irrigated,FYM (Farmyard Manure),Organic,136,50,139,Amla (Indian Gooseberry); Onion; Potato,Fruit
Bidar,Grapes,Kharif,Red sandy loam,5.8,1.05,59,19,22,Irrigated,Vermicompost + Neem cake,Organic,403,218,362,Mango; Pomegranate; Sapota (Chikoo),Fruit
Gadag,Bottle Gourd,Kharif,Alluvial (coastal),7.2,0.86,49,37,14,Irrigated,15-15-15 + Urea,Inorganic,57,38,39,Ridge Gourd; Pumpkin; Spinach,Vegetable
Belagavi,Green Peas,Kharif,Black clayey,7.5,0.43,19,28,53,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,26,54,28,French Beans; Soybean; Chickpea (Bengal gram); Groundnut,Vegetable
Kalaburagi,Grapes,Rabi,Red loam,6.3,0.97,58,27,15,Irrigated,15-15-15 + Urea,Inorganic,411,211,371,Mango; Pomegranate; Sapota (Chikoo),Fruit
Yadgir,Grapes,Rabi,Lateritic,5.9,0.97,38,47,15,Irrigated,FYM + Urea (split) + MOP,Mixed,420,214,437,Mango; Pomegranate; Sapota (Chikoo); Banana,Fruit
Hubballi-Dharwad,Grapes,Kharif,Red loam,6.3,0.77,56,32,12,Irrigated,12-32-16 + Urea + MOP,Inorganic,362,214,387,Mango; Pomegranate; Sapota (Chikoo),Fruit
Hassan,Papaya,Rabi,Alluvial (coastal),7.1,0.84,45,34,21,Irrigated,12-32-16 + Urea + MOP,Inorganic,143,47,143,Amla (Indian Gooseberry); Onion; Potato,Fruit
Koppal,Okra (Bhindi),Rabi,Black clayey,7.2,0.72,13,31,56,Irrigated,FYM (Farmyard Manure),Organic,83,37,38,Mustard; Cotton; Pumpkin; Muskmelon,Vegetable
Vijayapura,Cabbage,Kharif,Black clayey,8.5,0.78,12,45,43,Irrigated,Vermicompost + DAP (basal) + Urea (topdress),Mixed,126,62,59,Cauliflower; Chilli; Brinjal (Eggplant),Vegetable
Hubballi-Dharwad,Grapes,Kharif,Red loam,6.8,0.51,60,23,17,Irrigated,FYM + Urea (split) + MOP,Mixed,431,201,391,Mango; Pomegranate; Sapota (Chikoo); Banana,Fruit
Kolar,Guava,Rabi,Sandy loam,6.1,0.88,45,35,20,Rainfed,Vermicompost + Neem cake,Organic,151,98,100,Tomato (Hybrid High-Demand); Capsicum (Bell Pepper); Tomato,Fruit
Ramanagara,Jackfruit,Rabi,Red sandy loam,6.1,0.62,52,35,13,Rainfed,12-32-16 + Urea + MOP,Inorganic,190,99,216,Banana; Sapota (Chikoo); Pomegranate; Potato,Fruit
